state,action_0,action_1,action_2,action_3
0,0.568581873251972,0.052910485645231556,0.473526865011702,0.7737809374999942
1,0.5789841105679934,-0.6764664550262907,0.6088909998680555,0.8145062499999951
2,0.5627572510505658,0.857374999999996,0.5470918601223751,-0.6226463974646923
3,0.0,0.0,0.0,0.0
4,0.0,0.17598291894160878,7.860308615197724e-06,-0.0975
5,0.0,0.0,0.0,0.0
6,0.66327643730021,0.902499999999997,-0.6594383737118849,0.28029890082380704
7,-0.0975,0.0,0.7475502361842148,0.0
8,0.0,0.0,0.006836574849112854,0.4476854326335769
9,-0.0975,-0.05,0.0,0.819688043204432
10,0.6814187132289699,-0.8062885155414988,0.38658393397290713,0.949999999999998
11,0.38964873022491947,0.9999999999999989,0.6963282956219768,0.6944022768216657
12,0.0,0.0,0.0,-0.05
13,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0
