state,action_0,action_1,action_2,action_3
0,0.14673803536396293,0.04130554194622801,0.11505209195704255,0.2306605132249305
1,0.20475918502842488,-0.7740644590074341,0.14521249227950336,0.36290782989222664
2,0.2197003901688297,0.47643086932320855,0.19927287847260736,-0.6226463974646923
3,0.0,0.0,0.0,0.0
4,0.13324029433463613,-0.00021250736942700536,-0.0017179898919229633,-0.18549375
5,0.0,0.0,0.0,0.0
6,0.2112850609619883,0.24713698465746547,-0.8062885155414988,0.6260190795138976
7,-0.7740644590074341,0.7842475348536067,0.25120641156640516,0.39783963590534704
8,-0.003223461225823001,-0.0039000000000000007,-0.00023497022879316552,-0.0017147500000000003
9,-0.0975,-0.05,-3.810290047102796e-06,0.0
10,0.024714801933299772,0.0,0.0,0.7112153651172688
11,0.3655995955370192,0.9999999999999989,0.3319231023096311,0.5664077223002494
12,0.0,0.0,-0.0020000000000000005,-0.142625
13,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0
